fields.item_name,fields.brand_name,healthy
Chili Cheese Fries,Taco Bell Canada,0
Steak Chalupa Supreme,Taco Bell Canada,0
7-Layer Burrito - Chicken,Taco Bell Canada,0
Fresco Beef Crunchy Taco,Taco Bell Canada,1
Cinnamon Twists,Taco Bell Canada,1
Cheese Quesadilla,Taco Bell Canada,0
7-Layer Burrito - Beef,Taco Bell Canada,0
Beef Soft Taco,Taco Bell Canada,1
Bean Chalupa Supreme,Taco Bell Canada,1
Bean Cheesy Gordita Crunch,Taco Bell Canada,0
Loaded Taco Fries Burrito,Taco Bell Canada,0
Loaded Taco Fries,Taco Bell Canada,0
Loaded Nacho Taco - Spicy,Taco Bell Canada,0
Crispy Bacon,Texas de Brazil,1
Parmesan Chicken Drumettes,Texas de Brazil,1
Brazilian Potato Salad,Texas de Brazil,1
Dressing - Bleu Cheese,Texas de Brazil,1
Godiva Flight,Texas de Brazil,1
Mint Sauce,Texas de Brazil,1
Caipirinha,Texas de Brazil,1
Hummus,Texas de Brazil,1
Santa Fe Salad,Texas de Brazil,1
Lamb Chops,Texas de Brazil,1
Brazilian Rose,Texas de Brazil,1
Grand Marnier Flight,Texas de Brazil,1
Pecan Pie with Cream Cheese Center a la Mode,Texas de Brazil,0
Espresso Delight,Texas de Brazil,1
Grilled Provolone Cheese,Texas de Brazil,1
Patron Flight,Texas de Brazil,1
Ipanema Margarita,Texas de Brazil,1
Hennessy Flight,Texas de Brazil,1
Orange Vinaigrette,Texas de Brazil,1
Cucumber Salad,Texas de Brazil,0
The Ruler of Marula,Texas de Brazil,1
Liquor (94 Proof),Texas de Brazil,1
Wine By The Glass - Red,Texas de Brazil,1
Coconut Chess Pie a la Mode,Texas de Brazil,0
Picanha,Texas de Brazil,1
Taylor Fladgate Flight,Texas de Brazil,1
Shrimp Salad,Texas de Brazil,1
Salami,Texas de Brazil,1
Quinoa Salad,Texas de Brazil,1
Sauteed Mushrooms,Texas de Brazil,1
Cipollini Onions,Texas de Brazil,1
Potatoes au Gratin,Texas de Brazil,1
Seared Tuna Salad,Just Salad,1
Seared Ahi Tuna,Just Salad,1
Black Beans,Just Salad,1
Pita Chips,Just Salad,1
Sharp White Cheddar,Just Salad,1
Kids Boneless Wings With Root Beer Glaze,BJ's Restaurants,0
Best Beginnings Appetizer Combo With Cherry Chipotle Glaze,BJ's Restaurants,0
Brewhouse Meatballs,BJ's Restaurants,0
Broccoli,BJ's Restaurants,1
Garlic Bread Knots,BJ's Restaurants,1
"Mini Pizza Topping, Housemade Meatballs",BJ's Restaurants,1
Two Eggs Any Style With Sourdough Toast,BJ's Restaurants,0
"Catering, Lemon Thyme Chicken",BJ's Restaurants,0
Kids Crispy Mahi-Mahi Taco,BJ's Restaurants,0
"Catering, Root Beer Glazed Ribs Appetizer",BJ's Restaurants,0
BJ's Piranha Pale Ale,BJ's Restaurants,1
"Burger Add On, Fried Egg",BJ's Restaurants,0
Buttermilk Pancake Combo With Ham,BJ's Restaurants,0
Pirahna Pale Ale Chili And Cheese Potato,BJ's Restaurants,0
Deep Dish Ziti,BJ's Restaurants,0
Chimichurri Chicken,BJ's Restaurants,0
Mini Monkey Bread Pizookie,BJ's Restaurants,0
"Catering Salads, Asian Chopped Salad",BJ's Restaurants,0
"Catering, Mandarin Orange Green Tea",BJ's Restaurants,1
Best Beginnings Appetizer Combo With Nashville Hot Sauce,BJ's Restaurants,0
Mini Cookies 'N' Cream Pizookie,BJ's Restaurants,0
BJ's Nutty Brewnette,BJ's Restaurants,1
"Catering, BJ's Fresh Squeezed Lemonade",BJ's Restaurants,0
Rice Wine Vinaigrette,BJ's Restaurants,1
Sparkling Sangria,BJ's Restaurants,1
"Catering, Vegetarian Hoagie",BJ's Restaurants,0
Orange Cream Soda,BJ's Restaurants,0
Raspberry Sparkling Water,BJ's Restaurants,1
Hot Chocolate,BJ's Restaurants,1
"Buttermilk Pancakes, Short Stack",BJ's Restaurants,0
Sourdough Toast,BJ's Restaurants,1
Oil & Vinegar,BJ's Restaurants,0
"Large Pizza Topping, Artichoke Hearts",BJ's Restaurants,1
Chocolate Chunk Pizookie,BJ's Restaurants,0
Kids Mashed Potatoes,BJ's Restaurants,0
Kids Monkey Bread Pizookie,BJ's Restaurants,0
Shrimp Scampi Pasta,BJ's Restaurants,0
Mountain Dew,BJ's Restaurants,0
"Large Pizza Topping, Roasted Asparagus",BJ's Restaurants,1
Kids Fresh Fruit,BJ's Restaurants,1
Kids Orange Juice,BJ's Restaurants,1
"Large Pizza Topping, Fire-Roasted Red Peppers",BJ's Restaurants,1
Lemon Thyme Chicken,BJ's Restaurants,0
Sliders,BJ's Restaurants,0
Crispy Fried Artichokes,BJ's Restaurants,0
"Kids Pasta, Grilled Chicken",BJ's Restaurants,1
"BJ's Classic Combo Deep Dish Pizza, Medium",BJ's Restaurants,0
"Large Pizza Topping, Green Bell Peppers",BJ's Restaurants,1
BJ's Classic Rib-Eye,BJ's Restaurants,0
"Buttermilk Pancakes, Full Stack",BJ's Restaurants,0
Kids Chocolate Milk,BJ's Restaurants,1
Honey-Crisp Chicken Salad,BJ's Restaurants,0
Pepperoni Extreme Flatbread Pizza,BJ's Restaurants,1
"Pepperoni Extreme Deep Dish Pizza, Medium",BJ's Restaurants,0
"Gourmet Five Meat Deep Dish Pizza, Medium",BJ's Restaurants,0
Bleu Cheese Dressing,BJ's Restaurants,1
Kids Lemonade,BJ's Restaurants,0
Ahi Poke,BJ's Restaurants,0
Parmesan-Crusted Chicken,BJ's Restaurants,0
"Chicken Bacon Ranch Deep Dish Pizza, Large",BJ's Restaurants,0
House Top Sirloin,BJ's Restaurants,0
"Sweet Pig Deep Dish Pizza, Mini",BJ's Restaurants,1
"Gourmet Five Meat Deep Dish Pizza, Small",BJ's Restaurants,0
"BJ's Favorite Deep Dish Pizza, Mini",BJ's Restaurants,1
"Chicken Bacon Ranch Deep Dish Pizza, Mini",BJ's Restaurants,1
"Sweet Pig Deep Dish Pizza, Small",BJ's Restaurants,1
Italian Dressing,BJ's Restaurants,1
"Tomato Basil Soup, Cup",Buca Di Beppo,0
Bucatini Amatriciana,Buca Di Beppo,0
"Italian Wedding Soup, Bowl",Buca Di Beppo,0
Tortellini Bianca,Buca Di Beppo,0
Salmon Sorrento,Buca Di Beppo,0
Kid's Spaghetti with Meatball,Buca Di Beppo,0
Kid's Pisa Punch,Buca Di Beppo,1
Caesar Salad,Buca Di Beppo,1
Chicken Limone,Buca Di Beppo,0
Chicken Parmigiana,Buca Di Beppo,0
Meatball,Buca Di Beppo,0
"Minestrone Soup, Bowl",Buca Di Beppo,0
Penne San Remo,Buca Di Beppo,0
Spaghetti with Meat Sauce,Buca Di Beppo,0
Spicy Chicken Rigatoni,Buca Di Beppo,0
Tiramisu,Buca Di Beppo,0
"Flavored Tea, With Ice, Orange",Carrabba's Italian Grill,1
"Catering, Meatballs & Ricotta",Carrabba's Italian Grill,0
"Catering, Mezzaluna, 10 Servings",Carrabba's Italian Grill,0
Penne Pomodoro,Carrabba's Italian Grill,0
"Kids, Side, Steamed Spinach",Carrabba's Italian Grill,1
"Kids, Grilled Cheese",Carrabba's Italian Grill,0
"Topping, Garlic Aioli",Carrabba's Italian Grill,0
"Topping, Gorgonzola Cheese Sauce",Carrabba's Italian Grill,1
"Catering, Chicken Parmesan, 10 Servings",Carrabba's Italian Grill,0
"Lasagne Family Bundle, 4 Servings",Carrabba's Italian Grill,0
Calamari,Carrabba's Italian Grill,0
"Caesar Salad Family Bundle, 4 Servings",Carrabba's Italian Grill,0
"Catering, Chips With Gorgonzola, 1 Serving",Carrabba's Italian Grill,1
Cauliflower Fritte,Carrabba's Italian Grill,0
"Garlic Mashed Potatoes Family Bundle, 4 Servings",Carrabba's Italian Grill,0
"Spaghetti Meat Sauce Family Bundle, 4 Servings",Carrabba's Italian Grill,0
"House Salad Family Bundle, 1 Serving",Carrabba's Italian Grill,0
"Kids, 2% Milk",Carrabba's Italian Grill,1
Linguine Positano With Chicken With Gluten Free Pasta,Carrabba's Italian Grill,0
"Lunch, Lasagne",Carrabba's Italian Grill,0
"Light Beer, 19 Ounce, Draft",Carrabba's Italian Grill,1
"Kids, Side, Penne Pomodoro",Carrabba's Italian Grill,0
"Rose Wine, Glass, 9 Ounce",Carrabba's Italian Grill,1
"Catering, Tomato Basil Salmon & Chicken Bryan, 10 Servings",Carrabba's Italian Grill,0
"Catering, Sliced Sirloin Marsala, 10 Servings",Carrabba's Italian Grill,0
"Calamari, Small",Carrabba's Italian Grill,0
Vanilla Espresso Martini,Carrabba's Italian Grill,1
"Catering, Italian Sandwich, 1 Serving",Carrabba's Italian Grill,0
Grilled Vegetables,Carrabba's Italian Grill,1
"Samuel Adams Boston Lager, 13 oz, Draft",Carrabba's Italian Grill,1
"Flavored Tea, With Ice, White Peach",Carrabba's Italian Grill,1
"Minute Maid Lemonade, With Ice (To-Go)",Carrabba's Italian Grill,0
"Catering, Penne Positano With Chicken, 10 Servings",Carrabba's Italian Grill,0
Marsala Di Carrabba,Carrabba's Italian Grill,0
"Light Beer, 13 Ounce, Draft",Carrabba's Italian Grill,1
"Birra Moretti, 13 oz, Draft",Carrabba's Italian Grill,1
"Catering, Strawberry Flavored Lemonade, Gallon",Carrabba's Italian Grill,0
"Bud Light, 13 oz, Draft",Carrabba's Italian Grill,1
"Catering, Penne Weesie, 10 Servings",Carrabba's Italian Grill,0
"Rigatoni Campagnolo Family Bundle, 1 Serving",Carrabba's Italian Grill,0
"Lunch, Fettuccine Weesie With Whole Grain Pasta",Carrabba's Italian Grill,0
"Lunch, Spaghetti With Meatballs With Whole Grain Spaghetti",Carrabba's Italian Grill,0
"Catering, Italian Salad With Chicken, 1 Serving",Carrabba's Italian Grill,0
Strawberry Cheesecake,Carrabba's Italian Grill,0
"Catering, Chicken Bryan, 10 Servings",Carrabba's Italian Grill,0
Rigatoni Campagnolo With Gluten Free Pasta,Carrabba's Italian Grill,0
Parmesan-Crusted Chicken Arugula,Carrabba's Italian Grill,0
Linguine Positano With Chicken,Carrabba's Italian Grill,0
"Catering, Tuscan Grilled Chicken",Carrabba's Italian Grill,1
"Catering, Chicken Marsala",Carrabba's Italian Grill,0
Spaghetti With Pomodoro Sauce With Gluten Free Pasta,Carrabba's Italian Grill,0
Linguine Pescatore With Shrimp With Gluten-Free Pasta,Carrabba's Italian Grill,0
"Lunch, Spaghetti With Meatballs With Gluten Free Pasta",Carrabba's Italian Grill,0
"Catering, Bread Herbs And Oil, 1 Serving",Carrabba's Italian Grill,1
Linguine Pescatore With Gluten Free Pasta,Carrabba's Italian Grill,0
"Sausage, Spinach And Mozzarella Frittata",Carrabba's Italian Grill,0
Rigatoni Campagnolo,Carrabba's Italian Grill,0
Chianti Kiss,Carrabba's Italian Grill,1
Meatballs And Ricotta,Carrabba's Italian Grill,0
Blackberry Bellini,Carrabba's Italian Grill,1
Grilled Asparagus With Prosciutto,Carrabba's Italian Grill,0
"Lunch, Caesar Salad With Salmon",Carrabba's Italian Grill,0
"Classic Red Sangria, Pitcher",Carrabba's Italian Grill,0
Linguine Positano,Carrabba's Italian Grill,0
Spaghetti With Meatballs With Whole Grain Spaghetti,Carrabba's Italian Grill,0
Fettuccine Weesie With Whole Grain Spaghetti,Carrabba's Italian Grill,0
Spaghetti With Bolognese Meat Sauce With Whole Grain Spaghetti,Carrabba's Italian Grill,0
"Coke, With Ice",Carrabba's Italian Grill,1
"Lunch, Caprese Sandwich, Half",Carrabba's Italian Grill,1
"Lunch, Caprese Sandwich",Carrabba's Italian Grill,1
"Minestrone Soup, Cup",Carrabba's Italian Grill,1
"Kids, Pepperoni Pizza",Carrabba's Italian Grill,0
"Diet Coke, With Ice",Carrabba's Italian Grill,1
Margherita Pizza,Carrabba's Italian Grill,0
Prosciutto Wrapped Pork Tenderloin,Carrabba's Italian Grill,0
John Cole,Carrabba's Italian Grill,0
"Lunch, Chicken Bryan, Half",Carrabba's Italian Grill,1
Lasagne,Carrabba's Italian Grill,0
Mezzaluna,Carrabba's Italian Grill,0
Fettuccine Alfredo,Carrabba's Italian Grill,0
"Cafe Latte, Small",Elliano's Coffee Company,1
"Caffe Americano, Small",Elliano's Coffee Company,1
"Cappuccino, Large",Elliano's Coffee Company,1
"Guilt-Free Cafe Latte, Small",Elliano's Coffee Company,1
"Guilt-Free Vanilla Latte, Medium",Elliano's Coffee Company,1
"Vanilla Latte, Small",Elliano's Coffee Company,1
"Vanilla Latte, Medium",Elliano's Coffee Company,0
"Guilt-Free Iced Cafe Mocha, Medium",Elliano's Coffee Company,1
"Iced Cafe Latte, Medium",Elliano's Coffee Company,1
"Guilt-Free Iced Cafe Latte, Large",Elliano's Coffee Company,1
"Guilt-Free Iced Vanilla Latte, Medium",Elliano's Coffee Company,1
"Iced Cafe Mocha, Small",Elliano's Coffee Company,1
"Iced White Mocha, Medium",Elliano's Coffee Company,0
"Venetian Vanilla Cream, Medium",Elliano's Coffee Company,0
"Cookie Freezer, Large",Elliano's Coffee Company,0
"Mocha Freezer, Small",Elliano's Coffee Company,0
"Strawberry Smoothie, Large",Elliano's Coffee Company,0
"Caffe Dolce, Medium",Elliano's Coffee Company,0
"Guilt-Free Milan Mint Mocha, Medium",Elliano's Coffee Company,1
"Guilt-Free Mocha Freezer, Small",Elliano's Coffee Company,1
"Guilt-Free Coffee Freezer, Small",Elliano's Coffee Company,1
"Mocha Freezer, Medium",Elliano's Coffee Company,0
"Guilt-Free White Chocolate Freezer with Syrup, Large",Elliano's Coffee Company,1
"Cookie Shake, Medium",Elliano's Coffee Company,0
"Vanilla Shake, Small",Elliano's Coffee Company,0
"Guilt-Free Spiced Chai, Small",Elliano's Coffee Company,1
"Berry Smoothie, Medium",Elliano's Coffee Company,0
"Strawberry Banana Smoothie, Large",Elliano's Coffee Company,0
"Guilt-Free Hot Chocolate, Large",Elliano's Coffee Company,1
"Banana Shake, Large",Elliano's Coffee Company,0
"Spiced Chai, Medium",Elliano's Coffee Company,0
Apple Raisin Muffin,Eat'n Park,1
Cranberry Nut Muffin,Eat'n Park,1
Grilled Stickies,Eat'n Park,0
Honeybun,Eat'n Park,0
Six Grain Bread,Eat'n Park,1
White Bread,Eat'n Park,1
"Mozzarella Sticks with Pomodoro Dipping Sauce, 6 Piece",Sbarro,0
Turkey with Pesto Mayo Sub - Hot or Cold,Sbarro,0
6 Tenders/Strips with Choice of 2 Sauces,Sbarro,0
Spaghetti with Sausage,Sbarro,0
"Mozzarella Sticks with Pomodoro Dipping Sauce, 3 Piece",Sbarro,1
Chipotle Ranch Dipping Sauce,Sbarro,1
"NY Spinach & Tomato Pizza, 17 inch",Sbarro,0
"NY Pepperoni Pizza, 17 inch",Sbarro,0
"Pepperoni Stromboli, 6 inch",Sbarro,0
Fruit Salad,Sbarro,0
"Garlic Breadstick, 1 Piece",Sbarro,1
"Roman Cheese Pizza, Whole",Sbarro,0
"Spinach Stromboli, 6 inch",Sbarro,0
"3-Meat Stromboli, 12 inch",Sbarro,0
"Classic Hawaiin Stromboli, 6 inch",Sbarro,0
Breakfast Meat Stuffed Slice,Sbarro,0
"Roman Veggie Pizza, Slice",Sbarro,0
"Kids Quesadilla, Flour Tortilla",Chipotle,1
Blueberries,Chipotle,1
Kids Chips,Chipotle,1
"Kids Quesadilla, Pinto Beans",Chipotle,1
"Kids Quesadilla, Sofritas",Chipotle,1
"Kids Quesadilla, Chicken",Chipotle,1
"Kids Tacos, 2 Crispy Corn Tortillas",Chipotle,1
"Kids Tacos, White Rice",Chipotle,1
"Kids Tacos, Fresh Tomato Salsa",Chipotle,1
Chips,Chipotle,0
Black Beans,Chipotle,1
Vinaigrette,Chipotle,0
Flour Tortilla,Chipotle,1
Steak,Chipotle,1
Crispy Taco Shell,Chipotle,1
Tomatillo-Red Chili Salsa,Chipotle,1
Fajita Vegetables,Chipotle,1
Chips & Tomatillo-Green Chili Salsa,Chipotle,0
Chips & Tomatillo-Red Chili Salsa,Chipotle,0
Chips & Fresh Tomato Salsa,Chipotle,0
Ken's Ranch Dressing,Domino's,0
"MeatZZa Hand Tossed Pizza, Large",Domino's,0
"Spinach & Feta Hand Tossed Pizza, Large",Domino's,1
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Large",Domino's,0
"Deluxe Hand Tossed Pizza, XLarge",Domino's,0
Marzetti Cardini Caesar Dressing,Domino's,0
Philly Cheese Steak Sandwich,Domino's,0
Sweet BBQ Bacon Specialty Chicken,Domino's,0
"Ultimate Pepperoni Hand Tossed Pizza, Medium",Domino's,1
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Small",Domino's,1
Italian Sausage Marinara in Bread Bowl,Domino's,0
Cinnamon Bread Twists,Domino's,1
"ExtravaganZZa Hand Tossed Pizza, Large",Domino's,0
"Salad Bar, Orange Gelatin",Eat'n Park,1
"Breakfast Buffet, Swiss for Burger",Eat'n Park,1
"Breakfast Buffet, Grits",Eat'n Park,1
"Breakfast Buffet, Pepper Jack for Burger",Eat'n Park,1
"Almond Milk, Small",Eat'n Park,1
Over-Medium Egg (1),Eat'n Park,0
"Salad Bar, Green Olives",Eat'n Park,1
"Salad Bar, Red Peppers",Eat'n Park,1
"Salad Bar, Sunflower Seeds",Eat'n Park,1
Arnold Palmer,Eat'n Park,1
Herb-Crusted Chicken (2),Eat'n Park,0
"Salad Bar, Chocolate Pudding",Eat'n Park,0
"Salad Bar, Pistachio Pudding",Eat'n Park,1
"Salad Bar, Strawberry'n Creme Muffin",Eat'n Park,1
Kid's Sweet Tea,Eat'n Park,1
"Breakfast Buffet, Bacon",Eat'n Park,1
"Breakfast Buffet, Smiley Cookie",Eat'n Park,1
"Chocolate Sundae, 2 Scoops",Eat'n Park,0
"BYO Appetizer, Even More Chips",Eat'n Park,0
Grilled Chicken Vegetable Flatbread,Eat'n Park,0
"Breakfast Buffet, Corn Muffin",Eat'n Park,1
Ranch Chicken Pasta Primavera,Eat'n Park,0
Kid's Cranberry Juice,Eat'n Park,1
Crispy Chicken Club Sandwich,Eat'n Park,0
Mocha Chip Muffin,Eat'n Park,1
"V8 Juice, Large",Eat'n Park,0
Kid's Vanilla Milkshake,Eat'n Park,0
"Salad Bar, Raspberry Yogurt",Eat'n Park,1
"Breakfast Buffet, Cranberry Nut Muffin",Eat'n Park,1
"Breakfast Buffet, Raisins",Eat'n Park,1
"Salad Bar, Balsamic Vinaigrette",Eat'n Park,1
"Salad Bar, Thousand Island Dressing",Eat'n Park,1
"Breakfast Buffet, Strawberries with Syrup",Eat'n Park,1
"Breakfast Buffet, Bread Pudding",Eat'n Park,1
"Salad Bar, Peach Yogurt",Eat'n Park,1
"Breakfast Buffet, Prunes",Eat'n Park,1
"Salad Bar, Peas",Eat'n Park,1
Over-Medium Eggs (2),Eat'n Park,0
Zucchini Lasagna,Eat'n Park,0
