,_index,_type,_id,_score,fields.item_name,fields.brand_name,fields.nf_calories,fields.nf_calories_from_fat,fields.nf_total_fat,fields.nf_saturated_fat,fields.nf_trans_fatty_acid,fields.nf_cholesterol,fields.nf_sodium,fields.nf_sugars,fields.nf_protein,healthy,caption_clean,filtered_caption
0,f762ef22-e660-434f-9071-a10ea6691c27,item,152134561df32dbc01745450,1,Chili Cheese Fries,Taco Bell Canada,410,,21.0,2.5,0.0,10.0,800.0,1.0,8.0,0,"['chili', 'cheese', 'fries']","['chili', 'chees', 'fri']"
1,f762ef22-e660-434f-9071-a10ea6691c27,item,1521345625524b743a73cabc,1,Steak Chalupa Supreme,Taco Bell Canada,360,,21.0,4.5,0.0,35.0,520.0,3.0,15.0,0,"['steak', 'chalupa', 'supreme']","['steak', 'chalupa', 'suprem']"
2,f762ef22-e660-434f-9071-a10ea6691c27,item,1521345635136d0077024b05,1,7-Layer Burrito - Chicken,Taco Bell Canada,430,,17.0,7.0,0.0,55.0,890.0,3.0,19.0,0,"['7layer', 'burrito', 'chicken']","['7layer', 'burrito', 'chicken']"
3,f762ef22-e660-434f-9071-a10ea6691c27,item,1521345653317d5d77d8e9a1,1,Fresco Beef Crunchy Taco,Taco Bell Canada,150,,8.0,2.5,0.0,15.0,310.0,2.0,6.0,1,"['fresco', 'beef', 'crunchy', 'taco']","['fresco', 'beef', 'crunchi', 'taco']"
4,f762ef22-e660-434f-9071-a10ea6691c27,item,152134566aa9e3fd741a6665,1,Cinnamon Twists,Taco Bell Canada,170,,6.0,0.0,0.0,0.0,210.0,13.0,1.0,1,"['cinnamon', 'twists']","['cinnamon', 'twist']"
5,f762ef22-e660-434f-9071-a10ea6691c27,item,152134566fbb489dbe2adb06,1,Cheese Quesadilla,Taco Bell Canada,470,,26.0,12.0,0.5,50.0,770.0,1.0,21.0,0,"['cheese', 'quesadilla']","['chees', 'quesadilla']"
6,f762ef22-e660-434f-9071-a10ea6691c27,item,152134567ad7cb650c09c1dc,1,7-Layer Burrito - Beef,Taco Bell Canada,450,,20.0,8.0,0.5,35.0,910.0,3.0,16.0,0,"['7layer', 'burrito', 'beef']","['7layer', 'burrito', 'beef']"
7,f762ef22-e660-434f-9071-a10ea6691c27,item,15213456a2d3c78e8385fb92,1,Beef Soft Taco,Taco Bell Canada,190,,9.0,4.5,0.0,25.0,450.0,1.0,9.0,1,"['beef', 'soft', 'taco']","['beef', 'soft', 'taco']"
8,f762ef22-e660-434f-9071-a10ea6691c27,item,15213456c4a565af9ea34cde,1,Bean Chalupa Supreme,Taco Bell Canada,370,,20.0,4.0,0.0,15.0,480.0,3.0,11.0,1,"['bean', 'chalupa', 'supreme']","['bean', 'chalupa', 'suprem']"
9,f762ef22-e660-434f-9071-a10ea6691c27,item,15213456faa33d4f620cbfb9,1,Bean Cheesy Gordita Crunch,Taco Bell Canada,490,,25.0,9.0,0.0,35.0,740.0,3.0,20.0,0,"['bean', 'cheesy', 'gordita', 'crunch']","['bean', 'cheesi', 'gordita', 'crunch']"
