,fields.item_name,fields.brand_name,healthy,clean_item_name,filtered_item_name
0,Chili Cheese Fries,Taco Bell Canada,0,"['chili', 'cheese', 'fries']","['chili', 'chees', 'fri']"
1,Steak Chalupa Supreme,Taco Bell Canada,0,"['steak', 'chalupa', 'supreme']","['steak', 'chalupa', 'suprem']"
2,7-Layer Burrito - Chicken,Taco Bell Canada,0,"['7layer', 'burrito', 'chicken']","['7layer', 'burrito', 'chicken']"
3,Fresco Beef Crunchy Taco,Taco Bell Canada,1,"['fresco', 'beef', 'crunchy', 'taco']","['fresco', 'beef', 'crunchi', 'taco']"
4,Cinnamon Twists,Taco Bell Canada,1,"['cinnamon', 'twists']","['cinnamon', 'twist']"
5,Cheese Quesadilla,Taco Bell Canada,0,"['cheese', 'quesadilla']","['chees', 'quesadilla']"
6,7-Layer Burrito - Beef,Taco Bell Canada,0,"['7layer', 'burrito', 'beef']","['7layer', 'burrito', 'beef']"
7,Beef Soft Taco,Taco Bell Canada,1,"['beef', 'soft', 'taco']","['beef', 'soft', 'taco']"
8,Bean Chalupa Supreme,Taco Bell Canada,1,"['bean', 'chalupa', 'supreme']","['bean', 'chalupa', 'suprem']"
9,Bean Cheesy Gordita Crunch,Taco Bell Canada,0,"['bean', 'cheesy', 'gordita', 'crunch']","['bean', 'cheesi', 'gordita', 'crunch']"
10,Loaded Taco Fries Burrito,Taco Bell Canada,0,"['loaded', 'taco', 'fries', 'burrito']","['load', 'taco', 'fri', 'burrito']"
11,Loaded Taco Fries,Taco Bell Canada,0,"['loaded', 'taco', 'fries']","['load', 'taco', 'fri']"
12,Loaded Nacho Taco - Spicy,Taco Bell Canada,0,"['loaded', 'nacho', 'taco', 'spicy']","['load', 'nacho', 'taco', 'spici']"
13,Crispy Bacon,Texas de Brazil,1,"['crispy', 'bacon']","['crispi', 'bacon']"
14,Parmesan Chicken Drumettes,Texas de Brazil,1,"['parmesan', 'chicken', 'drumettes']","['parmesan', 'chicken', 'drumett']"
15,Brazilian Potato Salad,Texas de Brazil,1,"['brazilian', 'potato', 'salad']","['brazilian', 'potato', 'salad']"
16,Dressing - Bleu Cheese,Texas de Brazil,1,"['dressing', 'bleu', 'cheese']","['dress', 'bleu', 'chees']"
